prolific_pid,topic,choice,personality,interest_in_topic,Total approvals,Age,Sex,Ethnicity simplified,Country of birth,Country of residence,Nationality,Language,Student status,Employment status
44639d92cf7b8b1239dbce125123f83cdb6c44e8c880941a98c24fdece563600,fun activity,extroversion,extravert,,3013.0,62,Male,White,United States,United States,United States,English,No,Full-Time
c7d44cf04c42fd700a766e8d2fd01b7eb87fccdfbcfa51bc268d072d57402bcc,kosinski ads,introversion,introvert,,600.0,26,Female,Asian,United States,United States,Korea,English,No,Full-Time
15fb091eedc8ebcac6659d606ee63405a929d09d56527b641520c67937937ad9,kosinski ads,extroversion,introvert,,6383.0,48,Female,Mixed,United States,United States,United States,English,No,Full-Time
440baffd94936b614323a8b60d1f8078ea6df68d85c21145598872ac979c4f6a,kosinski ads,extroversion,introvert,,4497.0,40,Male,White,United States,United States,United States,English,DATA_EXPIRED,DATA_EXPIRED
e8243da2f4badcbf20f1125f288fc161f56953c690d421490a4a157834fa94fb,kosinski ads,introversion,introvert,,8780.0,71,Male,White,United States,United States,United States,English,No,Full-Time
1e511f4bf7486f60d3bddd7f666d1361f239ba541dd49b6fb01e92a978702b48,kosinski ads,introversion,introvert,,8202.0,48,Male,White,United States,United States,United States,English,No,"Not in paid work (e.g. homemaker', 'retired or disabled)"
84db36c0f274975537fbe44af6611a5f901ca29971d956e05f84625370aacd25,kosinski ads,introversion,introvert,,5791.0,42,Male,White,United States,United States,United States,English,No,Full-Time
937acdabe71fb2accbe1a37f35371f61c9e11d8bd3893732f5530e45de080063,kosinski ads,introversion,introvert,,4276.0,64,Female,White,United States,United States,United States,English,No,Other
641e3b41c38aa4322be875907f1764e0154343954531c5a8f98cfad6de2b29d6,kosinski ads,equal,introvert,,7717.0,30,Female,Asian,Korea,United States,United States,English,DATA_EXPIRED,DATA_EXPIRED
44d78f7f57fbe9ade6bc65f18b49db950e556686914b2b8df022f4c3be285803,kosinski ads,extroversion,introvert,,1904.0,38,Female,White,United States,United States,United States,English,DATA_EXPIRED,DATA_EXPIRED
912303d2f52758ac17a63a89b9ade5f224b94f0b94f527025da2f8adf0f9a663,kosinski ads,equal,introvert,,6047.0,34,Male,White,United States,United States,United States,English,No,Full-Time
e5fb42887615ffbfb365d8dd964872eef38189bfd18b4123cfb51ada12c51e8c,kosinski ads,introversion,introvert,,7918.0,57,Male,White,Germany,United States,United States,German,No,Other
b23d695e410680503126ce4d794721ea60add361ea86fa1cb4e385844922cd37,kosinski ads,equal,introvert,,4534.0,40,Male,White,United States,United States,United States,English,No,Full-Time
2c3641480e52d69b7a467cc56ebe7bfa0d373c2705995ea09320f9019b939338,kosinski ads,introversion,introvert,,9671.0,64,Male,Asian,United States,United States,United States,English,No,Full-Time
046a583f1fef98bbbf35508dbe98a26ae4f8c1f67c75595a018c71a63c63e39e,kosinski ads,introversion,introvert,,3482.0,56,Male,White,United States,United States,United States,English,No,Full-Time
a42369950ad1b1a74f654745d2bc6f9400b3c8d5a306f25ae52a46040e04da80,kosinski ads,extroversion,introvert,,1480.0,31,Female,Asian,United States,United States,United States,English,No,Full-Time
118a0f9a5b0264a464e44f8f7c1ad39ddf24aebc5ecefaf0854408e123619ed1,kosinski ads,extroversion,introvert,,3948.0,42,Female,White,United States,United States,United States,English,DATA_EXPIRED,Full-Time
29933de9bfb7d7bcc106dba28b8b4b8e535d718f1a4912a4e7c9903b216dd863,kosinski ads,extroversion,introvert,,3365.0,66,Male,White,Netherlands,United States,Netherlands,Dutch,No,Full-Time
f0ef8b8d56092411f778ecc8f353bca680db14e6d41415756e51a6add6095b43,kosinski ads,introversion,introvert,,2796.0,53,Male,White,United States,United States,United States,English,No,Part-Time
19c8dbbbf8614b99aacb6c146102b9abcf41d594d9074092a4ddef1fe73c78d1,kosinski ads,equal,introvert,,2524.0,65,Female,White,United States,United States,United States,English,No,Due to start a new job within the next month
d14f0f431bd6aeb2ec9de98e0092597b7a21a792931e170e2d0b610e21e5caf9,kosinski ads,introversion,introvert,,5423.0,23,Female,White,United States,United States,United States,English,No,Full-Time
a1c8277c39e4b244a4e9e450131970e2368a4cf49c1a6a3fe0d09efe6c4a622c,kosinski ads,extroversion,introvert,,6856.0,24,Male,Black,United States,United States,United States,English,No,Part-Time
dda96bba936f508f28b8a119bbee7263c586b0fc6226d486a62f05b0ac8f6b72,kosinski ads,introversion,introvert,,6483.0,50,Female,White,United States,United States,United States,English,No,"Not in paid work (e.g. homemaker', 'retired or disabled)"
604f049e4a8be65f5d2e1182502bc5602d14f3b91b66ecd9e4312ddae371cec2,kosinski ads,introversion,introvert,,3438.0,32,Male,Other,Mexico,United States,United States,English,Yes,Full-Time
01416ed3e4bd50b06ab946fb707eeb9b683f843f5ca8f2f6c784293bc34adaf2,kosinski ads,introversion,introvert,,7284.0,27,Female,White,United States,United States,United States,English,No,Full-Time
8271ae4dda7947f08cc6e04bde322146a1cb3570becd6a3eaca963cbdda8aca3,kosinski ads,equal,introvert,,4582.0,31,Female,White,United States,United States,United States,English,No,"Not in paid work (e.g. homemaker', 'retired or disabled)"
24a41014c474e1c001e322a5a430f495e16645ff32c4b8093c26db442338a7f6,kosinski ads,introversion,introvert,,920.0,50,Female,White,United States,United States,United States,English,No,Full-Time
2212f5cf1e9ed5e855e65003c79c66cd527e4cadecb7b9b827b0ef7744721cf7,kosinski ads,extroversion,introvert,,1087.0,38,Female,White,United States,United States,United States,English,No,Part-Time
56691893db40421711c11e1847e71e39197d4124015e5341cfac5ece840476dd,kosinski ads,introversion,introvert,,3657.0,24,Female,White,United States,United States,United States,English,Yes,Full-Time
f31b65c9ef3677b6ccc9f223f21ef4c2c31a0488a96982f72b5fa34bbc2edf1e,kosinski ads,introversion,introvert,,9569.0,42,Male,White,United States,United States,United States,English,Yes,Full-Time
38e3f57a63abfa792248766878edf4514134a5cf09dcd790c0ec269e07c72f4b,kosinski ads,introversion,introvert,,8478.0,41,Female,White,United States,United States,United States,English,No,Full-Time
ac34f1168337284d22a10ad3fcd765e6d178a86a4e6861e77bd7446bbed1a6e9,kosinski ads,extroversion,introvert,,1371.0,24,Female,White,United States,United States,United Kingdom,English,No,Part-Time
baa17db014b60653cf571b9d77b4ef247daa784e4e2cf56552cc36605e764e9b,kosinski ads,equal,introvert,,2870.0,39,Female,White,United States,United States,United States,English,No,Full-Time
19a1ef07db86155fb84dd9212599c110a07cd890ce9d9fdf9b3be224f20df415,kosinski ads,extroversion,introvert,,4989.0,29,Female,White,United States,United States,United States,English,No,Full-Time
8c789f799828a39e17673dfe411ddd43f289a4090b11e453560a3befe1d15aa2,kosinski ads,introversion,introvert,,3826.0,49,Male,White,United States,United States,United States,English,No,Full-Time
c2dad838c016ab46d561678e5ec3c21202bd738ab339ecced12f2b6fba04f802,kosinski ads,introversion,introvert,,4242.0,33,Male,DATA_EXPIRED,United States,United States,United States,English,DATA_EXPIRED,Full-Time
2f846c1089194fab935507f58a046350decfc5ea90a39667758743feac171300,kosinski ads,equal,introvert,,5596.0,61,Female,White,United States,United States,United States,English,No,"Not in paid work (e.g. homemaker', 'retired or disabled)"
e43d44eec7fbb9047fa99085f6d8a48c18836a41b1360f620bb78f9b4d11b7df,kosinski ads,extroversion,introvert,,7422.0,41,Male,White,United States,United States,United States,English,No,DATA_EXPIRED
c30f7b7ba39ad6009c813afb1b9ab524becc12746b9cbceea18f06e313739330,kosinski ads,introversion,introvert,,7554.0,44,Female,Asian,United States,United States,United States,English,No,Full-Time
e8ad6c02c070fe898d37698ca36492323048b798a189a468d8a8ef4754c2a326,kosinski ads,equal,introvert,,7239.0,43,Male,White,United States,United States,United States,English,No,Full-Time
561bba33308b460c3ab029d6a8b232e8b6550e2301ef83ea3265991bfe22dac3,kosinski ads,equal,introvert,,5876.0,59,Female,Black,United States,United States,United States,English,DATA_EXPIRED,DATA_EXPIRED
e6d3339a811570a9f7031c9c326e690d788bc8faf689645c688103748445c224,kosinski ads,equal,introvert,,5698.0,34,Male,White,United States,United States,United States,English,DATA_EXPIRED,DATA_EXPIRED
8f316bf20ee66bedbcc304859fab20ebb5d20a34d1e7cd072b69b98f4f6ae8ab,kosinski ads,introversion,introvert,,7018.0,47,Male,White,United States,United States,United States,English,DATA_EXPIRED,DATA_EXPIRED
b4b5adf36e6cb378a766a4c9cc6a548814d8d4aa44708a21467305b77a4e2fd3,kosinski ads,extroversion,introvert,,1089.0,29,Male,White,United States,United States,United States,English,Yes,Full-Time
d8f29308cfadc487848109bede0e4f856b5575df51887e7441863f3b16fb0907,kosinski ads,introversion,introvert,,2324.0,54,Female,White,United States,United States,United States,English,No,Full-Time
fe48479bbbbfc73b15e85d65e39c6f886936e3a4d60eb0bf3ba39a0c2eb79f4b,kosinski ads,introversion,introvert,,4024.0,50,Male,White,United States,United States,United States,English,No,Other
57205ce80c7884d8a8330d7d84a1c0a85865a7cf0614a1d19d98504e14efe92c,kosinski ads,introversion,introvert,,1100.0,42,Female,Black,United States,United States,United States,English,No,Full-Time
9064f0f9fc70b73c882b1ff3b60bf35ccbdc5966c84ef416e66804c02be0a2c6,kosinski ads,introversion,introvert,,3454.0,62,Male,White,United States,United States,United States,English,No,Full-Time
772845ceed1b9c13009f68f4bbfbc25688024383bac81f03e3f046d46066e1f0,kosinski ads,introversion,introvert,,2224.0,67,Male,White,United States,United States,United States,English,No,Full-Time
38d208a9202e917744fb1a33fe948a7b97d5c451ec950da9a3059ab00c9f137c,kosinski ads,extroversion,introvert,,4326.0,31,Male,White,United States,United States,United States,English,No,Part-Time
a7c7e4eaec2219ab2384bd33cf0a9407ab19f00144363b2ef588d264e0b6cc71,kosinski ads,introversion,introvert,,4099.0,45,Female,White,United States,United States,United States,English,No,Full-Time
a9e50230766dd2618956ae063b3ed7b3600019e7d96224b38eb5dbcdbd4bca74,kosinski ads,extroversion,introvert,,1743.0,34,Female,White,United States,United States,United States,English,No,"Not in paid work (e.g. homemaker', 'retired or disabled)"
ee6bfaa23b8812bbc0aa3919ad19cb589ecfda91a6ee11aa3fe812930baa5148,kosinski ads,equal,introvert,,4835.0,38,Male,White,United States,United States,United States,English,No,Full-Time
e9ddb711e6b184fb81b1581f6bf8c0e2b8351b6604569f113fb8ee527ba7c73d,kosinski ads,introversion,introvert,,829.0,34,Female,Asian,Japan,United States,Japan,Japanese,No,"Not in paid work (e.g. homemaker', 'retired or disabled)"
fed25dbbacfbdd74a582acb9f5e9954bb4e099f7ca8190ccb62060458fd32705,kosinski ads,extroversion,introvert,,2322.0,29,Male,White,United States,United States,United States,English,No,Part-Time
dd73aa4ef01506fa0647c38634b080098bdc2d93f7a1ed1920d38014fdb9f68b,kosinski ads,extroversion,introvert,,2412.0,39,Male,Asian,United States,United States,United States,English,Yes,Full-Time
a3289beb1adea86ea37f8643f105cef62e33655210aad991fd183cc928843d14,kosinski ads,extroversion,introvert,,944.0,22,Female,Asian,United States,United States,United States,English,No,Unemployed (and job seeking)
87cf5f74f601b29edba438a786683c9d75433f60a29c314a2b55cc50118c17c8,kosinski ads,introversion,introvert,,600.0,33,Male,Asian,Vietnam,United States,United States,English,No,Full-Time
ed05a23b28eb66dca774d60267fc4b02895bfa96a37addb0ef9a6b8a8bd4d434,kosinski ads,introversion,introvert,,3908.0,32,Male,Asian,United States,United States,United States,English,No,Full-Time
ccbcdfc1c6f42a8bf327e0dddbde4e99b5462133368a1bcf01e6f5413b8c7d7c,kosinski ads,extroversion,introvert,,1315.0,33,Female,White,United States,United States,United States,English,No,"Not in paid work (e.g. homemaker', 'retired or disabled)"
3ff59727b6c167f18ada3c75693fed5cb0d98e5d34339bacc2b9ff0b4b3d8380,kosinski ads,extroversion,introvert,,1645.0,46,Male,White,United States,United States,United States,English,DATA_EXPIRED,DATA_EXPIRED
224f3157f1be69113b886541980155f24d00a4a3a25433f1dc507175396730e2,kosinski ads,introversion,introvert,,599.0,35,Female,White,United States,United States,United States,English,Yes,Full-Time
204b35f9398ad00faf3a221a925dbc8e02758fb6bc30e384d032e3d5f4ee7e94,kosinski ads,extroversion,introvert,,6573.0,29,Male,White,United States,United States,United States,English,No,DATA_EXPIRED
6c1eb8623b18c19cc79ab4827e6bd999162d79dd131aef22370114c675f49b82,kosinski ads,equal,introvert,,1416.0,38,Male,Other,United States,United States,United States,English,No,Full-Time
aef56c133a608450b75130630c5a3fc91fdfa1841ca94ca8703b6efedb5a570c,kosinski ads,introversion,introvert,,5459.0,49,Male,White,United States,United States,United States,English,No,Unemployed (and job seeking)
85757d9c65b39853fc641c20ac59b2fbe07bbaa4385ad4361049f8b6b2731f2a,kosinski ads,introversion,introvert,,5411.0,31,Female,Asian,United States,United States,United States,English,No,Full-Time
b790e82878c10daa7ca636c9a7c61a5f8621f232c0785c44d91acd2cdad7a77b,kosinski ads,equal,introvert,,2455.0,25,Female,Black,United States,United States,United States,English,DATA_EXPIRED,DATA_EXPIRED
737cf2c2d5a4a4874f44d0c9de783a53308e83390060e6ecb0f7a8399e505646,kosinski ads,introversion,introvert,,1475.0,42,Female,White,United States,United States,United States,English,No,"Not in paid work (e.g. homemaker', 'retired or disabled)"
6104f7d117e97012af866c9dfb91495bf6710efb4bf12da8365a467c014817f9,kosinski ads,introversion,introvert,,4837.0,36,Male,Mixed,United States,United States,United States,English,No,Full-Time
e24f49683fede6f07596e95fa1da49bfb876321d19edf20f4774ecb7d5646757,kosinski ads,introversion,introvert,,475.0,37,Female,White,United States,United States,United States,English,No,Full-Time
a36442e2a6e004ecb2451ab8785631e8a272add3815e4118e1f15a6d2142f108,kosinski ads,introversion,introvert,,5852.0,27,Male,Black,United States,United States,United States,English,Yes,Full-Time
85e51ca998e343b4644f0a4bb88a2e447f1eda1295a93d98c567cf453ac540ed,kosinski ads,extroversion,introvert,,512.0,42,Male,White,United States,United States,United States,English,No,Unemployed (and job seeking)
22c473471f0c0ea8144858239f5b52adb45c09917b02d63310a72bde7654cf60,kosinski ads,introversion,introvert,,736.0,40,Female,Black,United States,United States,United States,English,No,"Not in paid work (e.g. homemaker', 'retired or disabled)"
b788833fe48af383a26a32f143708c5b48b3eb0a7187cbed180079c2f172d176,kosinski ads,extroversion,introvert,,3131.0,36,Male,White,United States,United States,United States,English,No,Full-Time
ca2f03c8345a52afd7b9f2bcc97806a4ae348e00596c39ae5f1732225e573706,kosinski ads,equal,introvert,,696.0,60,Female,White,United Kingdom,United States,United States,English,No,"Not in paid work (e.g. homemaker', 'retired or disabled)"
2a489f4448dd826b9f002353754e5218907e85fe7197392462673672f0daee2f,kosinski ads,introversion,introvert,,1953.0,22,Female,White,United States,United States,United States,English,DATA_EXPIRED,Part-Time
a6522b5baebf6c7891cb4b65d6263544a8cc5a763143fd61d4d10ded276a762e,kosinski ads,introversion,introvert,,807.0,36,Male,White,United States,United States,United States,English,No,Full-Time
9c64d498d09805bd46dc6893a949df856b29a890be1c5d1aba11a8f90a19c790,kosinski ads,introversion,introvert,,823.0,52,Female,White,United States,United States,United States,English,Yes,Part-Time
43bc4cae53d0483604ec25ab4e25ed02b0446367c1470ed415905cad819ebc2e,kosinski ads,extroversion,introvert,,258.0,21,Male,Mixed,United States,United States,United States,English,Yes,Other
c8c531ce2abbe3900f7fd1afc4862cd33b4b64a3520f4a6056fc205fdaee1883,kosinski ads,introversion,introvert,,1813.0,34,Female,White,United States,United States,United States,English,Yes,Full-Time
f948181cb5fe53c032af4ddf13ea21cb170c3414012c72d215256aa43560e920,kosinski ads,introversion,introvert,,6895.0,31,Female,White,United States,United States,United States,English,No,Full-Time
0b1a7ead97d854d59c9bb46d86bce2197f0bac535a79ef771d96daabfa40b86e,kosinski ads,extroversion,introvert,,1904.0,56,Male,White,United States,United States,United States,English,No,Full-Time
003a15c5f241c9d1346062fdac0d04dbe7b5c7af53d77e65e23a31f23bab17ac,kosinski ads,extroversion,introvert,,3356.0,34,Male,White,United States,United States,United States,English,No,Full-Time
fba6b0552b45f592bc548832cb2c37bde85b69293f44913b79f0bc1d19b6f6a8,kosinski ads,introversion,introvert,,1425.0,30,Female,White,United States,United States,United States,English,No,Full-Time
fd31081c3741c3838ee2a87a5526a4e11399ec1a6f1069ea177d3fd8ac40c89d,kosinski ads,extroversion,introvert,,1000.0,39,Female,Mixed,United States,United States,United States,English,No,"Not in paid work (e.g. homemaker', 'retired or disabled)"
639592be64cbe6a1d55f81b2d0d2ac97bf222395ff1ae923019899de59c76e91,kosinski ads,extroversion,introvert,,1716.0,29,Female,Asian,Bangladesh,United States,Bangladesh,Bengali,Yes,Full-Time
97eaab3d7da7bd2f45a3ae24e50878eb5c1b2c8909d091d1047d159fd37aff78,kosinski ads,introversion,introvert,,3959.0,45,Female,White,United States,United States,United States,English,DATA_EXPIRED,DATA_EXPIRED
db605737fd93f68a05549324876322cc1709adc894d35a25efa97ae466152ada,kosinski ads,extroversion,introvert,,971.0,40,Female,Asian,United States,United States,United States,English,No,Full-Time
584dad99ee520a7e61ee86f1c6eca0782b19e8ec6c124e3fb7b0dccb55051135,kosinski ads,introversion,introvert,,3440.0,26,Female,White,United States,United States,United States,English,No,Full-Time
2ba3a5ef252ad44729b4755d01897f33262fd9f10bdf4bd9ec865c4629fbd608,kosinski ads,introversion,introvert,,5929.0,62,Female,White,United States,United States,United States,English,No,Part-Time
76d9a3c634a9d590514871b0ee6fb2e794480dbe7bac618740283c36c94ea4d3,kosinski ads,extroversion,introvert,,811.0,57,Male,White,United States,United States,Germany,English,DATA_EXPIRED,DATA_EXPIRED
ab1d1e37a482f8a86f14015ddeb263c6390a14d943d1e646a33bd1816eac59f2,kosinski ads,introversion,introvert,,786.0,44,Female,Asian,United States,United States,United States,English,No,DATA_EXPIRED
2946382a4cc6aa39b9c65b2e67b91f829af57d67332e122b15f7f0fff5791bc6,kosinski ads,introversion,introvert,,6805.0,28,Female,White,United States,United States,United States,English,No,Full-Time
f665192ff4bcb9adb460db82a5a2ef054584d62c1a8de8f0a67a0fd217849e94,kosinski ads,extroversion,introvert,,6409.0,52,Female,White,United States,United States,United States,English,No,Full-Time
edfff12fecd3c886eab4d4bb2304595e1f65e1eeb5811ed7c448314da528a7e6,kosinski ads,extroversion,introvert,,853.0,37,Female,Black,United States,United States,United States,English,No,Part-Time
f801b03049a34919bd20380bb2b6163b51f84725e5baf2f6c1249b05e6cef9d0,kosinski ads,extroversion,extravert,,4104.0,50,Male,White,United States,United States,United States,English,No,Full-Time
527431fa37cf2463e3ae10b331130450ad2ca8da541fd38529cf5134a6c60dfc,kosinski ads,extroversion,extravert,,6664.0,28,Female,White,United States,United States,United States,English,No,DATA_EXPIRED
469d9bcc4529b5bdb191648040d6fd3c370b7817d3ca7c6a07e4447f77b15a23,kosinski ads,introversion,extravert,,2383.0,44,Male,Other,Turkey,United States,Turkey,Turkish,No,Full-Time
445625a05344db675417b034ddb954f212e6064afdb6b9183f2a4b3350f28bde,kosinski ads,equal,extravert,,2494.0,30,Female,White,United States,United States,United States,English,No,Part-Time
1ea5e973d83b0b164193c3380bc2820aa931bd2e00ec8aafca7584cb569b30e7,kosinski ads,introversion,extravert,,4182.0,59,Male,White,United States,United States,United States,English,No,Full-Time
6d6f55dea82199ee328964c762a064a24b41ffcacac1e2e7e9efcf064c9828e0,kosinski ads,extroversion,extravert,,4946.0,36,Female,White,United States,United States,United States,English,No,Full-Time
01783584844bde63fca23df56d2b3cf94c8f8c21fd86279ca42ab6d1eb4f76d7,kosinski ads,extroversion,extravert,,8256.0,35,Female,White,United States,United States,United States,English,No,Full-Time
8d018bfd9763efee6bb5a0a7afb84af0952c7685581fb3ee867b776d6481c55b,kosinski ads,extroversion,extravert,,4346.0,30,Male,White,United States,United States,United States,English,Yes,Full-Time
f623f33fcdc3e60b89e3466e69e76a299d3daec9fa76c1c5268f99df981d3f65,kosinski ads,introversion,extravert,,2398.0,68,Female,White,United States,United States,United States,English,No,"Not in paid work (e.g. homemaker', 'retired or disabled)"
c666801b272b80d1a0fa63752bfbdff03588fd6d61307cfd78314d2b21990393,kosinski ads,introversion,extravert,,235.0,40,Female,White,United States,United States,United States,English,No,"Not in paid work (e.g. homemaker', 'retired or disabled)"
da76247cbf40235934ea6cc6b4e900230fed1328099f5fd97120f3564ff3fdf2,kosinski ads,introversion,extravert,,452.0,35,Male,White,United States,United States,United States,English,No,Full-Time
71d0ee957060cf45fac7a26d119483cfcacc0165c90791fa56d119dbcf61b177,kosinski ads,extroversion,extravert,,759.0,33,Female,White,United States,United States,United States,English,No,"Not in paid work (e.g. homemaker', 'retired or disabled)"
cd0921781d60c14e77777ff957eef9296384942db55cfec3ec163521c1805a6b,kosinski ads,extroversion,extravert,,6541.0,50,Female,White,Ukraine,United States,United States,English,No,Part-Time
6f74e9ca0b2b5f18ae6f556202fef1b3f16f07758b23a220dba5843225944a3a,kosinski ads,introversion,extravert,,3981.0,55,Male,White,United States,United States,United States,English,No,Part-Time
f8d36cca369d23afb59b1e074de88f0c38faaa3a0db404fcfb069e2310a3e21f,kosinski ads,introversion,extravert,,4860.0,60,Female,White,United States,United States,United States,English,No,DATA_EXPIRED
7d6e4a48ba9dc5725d8ffe503cc4f901f6b0430c8561c7dde0c8b42f0a23c794,kosinski ads,extroversion,extravert,,5341.0,56,Male,White,Spain,United States,United States,English,No,Full-Time
e22eda86a09523ae15a59d927d546657feda98fb9fb6c092fb2f762c7c94dfa4,kosinski ads,equal,extravert,,4681.0,49,Female,White,United States,United States,United States,English,No,DATA_EXPIRED
098f04f80e891b105c13d5d1f0af2caa38790f4d08e6543ee1e34ae182975ec7,kosinski ads,extroversion,extravert,,2439.0,39,Female,White,United States,United States,United States,English,DATA_EXPIRED,Full-Time
3e5fbd12e88174a93244199f393ad8d7e87350c3e3a3b379910c194f8cfb53b5,kosinski ads,introversion,extravert,,7581.0,35,Male,White,United States,United States,United States,English,No,Full-Time
38badb0c0124f2ad3ff65e33150eff928ffb6a1b9430ff21158ce78b173c4651,kosinski ads,introversion,extravert,,2726.0,62,Female,White,United States,United States,United States,English,No,Full-Time
28784bbcbbe0382158cc9078003e99b139ab54843f468390b5a81f6c536288a7,kosinski ads,extroversion,extravert,,4955.0,56,Male,White,United States,United States,United States,English,No,DATA_EXPIRED
4b8ad043464f087d443eb1ad501ff2476e02493cfc6000aa926c017e151ff373,kosinski ads,introversion,extravert,,2363.0,35,Female,Asian,Indonesia,United States,United States,Indonesian,No,DATA_EXPIRED
df65de70b9daeea0d577a07dd30b94e4ab8137f8e92981f26594cba4cccd93ed,kosinski ads,introversion,extravert,,4125.0,69,Male,White,United States,United States,United States,English,No,"Not in paid work (e.g. homemaker', 'retired or disabled)"
2f73e76520c24cfd330034a6c942950fd5b5a1d4ab6f2a9da27db48a4c4bbbd9,kosinski ads,extroversion,extravert,,2955.0,44,Male,White,United States,United States,United States,English,No,Full-Time
875107442094e14b03832a065e79fdfc2ba963471a45dde0faac9a9eb8e1a26e,kosinski ads,extroversion,extravert,,6348.0,36,Male,Asian,United States,United States,United States,English,DATA_EXPIRED,DATA_EXPIRED
ba40eda591c4cfe6d34113349f61daba654590fd3b0671767508389c8de2afa2,kosinski ads,extroversion,extravert,,1609.0,69,Female,White,United States,United States,United States,English,No,Other
2e94525505593a9135dac64ef5fa9bb1fdb3ea811af39f11ad8ce865789a770b,kosinski ads,introversion,extravert,,1646.0,65,Female,White,United States,United States,United States,English,No,"Not in paid work (e.g. homemaker', 'retired or disabled)"
84e0fa78f04ca8fd9ec845731f57a82457ab6cb4086a727f118a89097df7f188,kosinski ads,equal,extravert,,6021.0,51,Female,White,United States,United States,United States,English,No,Full-Time
4a84bf2df6b81171a2ab0052e077990acefbd17dc06a0bc1c560628a40dfbd11,kosinski ads,extroversion,extravert,,6143.0,46,Female,White,United States,United States,United States,English,DATA_EXPIRED,DATA_EXPIRED
2a1a575fc8c5280a5870af6015a955f291106c5c5686552553611f6e9753c6a1,kosinski ads,extroversion,extravert,,5291.0,43,Female,White,United States,United States,United States,English,DATA_EXPIRED,DATA_EXPIRED
ffb18386e4fb0d0cbf4615d9d7da0eb9ef31b5c9fba9606e34c3d9a768fd713f,kosinski ads,introversion,extravert,,7565.0,56,Male,White,United States,United States,United States,English,DATA_EXPIRED,Full-Time
122d7553d6a9dd981ceece3abd9ceb2463d687d86c80b6dd0d63a57e8049b097,kosinski ads,introversion,extravert,,7645.0,45,Male,White,United States,United States,United States,English,Yes,Full-Time
fed5ca64df174ce233b8879e21c12df24a0b343be0fd7197df4da8b9d9fb75e1,kosinski ads,equal,extravert,,1761.0,50,Male,White,United States,United States,United States,English,Yes,Full-Time
a56b38e11088c1c3e2e22a267e80bd9c81f527005316c051f5ca3f27f32a8d5d,kosinski ads,equal,extravert,,4348.0,48,Female,White,United States,United States,United States,English,No,Full-Time
046d49dff168e7b5185be72fd07b541b4e6f29cb902d9931e902c48baa93191a,kosinski ads,equal,extravert,,5851.0,40,Male,White,United States,United States,United States,English,DATA_EXPIRED,DATA_EXPIRED
10ef88595dd72f7857a10023426e9bbc532d4f1a863f0b19edffa681f24da109,kosinski ads,extroversion,extravert,,4727.0,68,Female,White,United States,United States,United States,English,No,Full-Time
ab10a1ec037138a2d2ec1e8bc1edb10422773a3f137bb7cda0d992aaa98d0ce9,kosinski ads,extroversion,extravert,,3408.0,45,Male,White,United States,United States,United States,English,No,Full-Time
4d4d80c2523bf6faa4006e179526b7594e32117304ee7308595ef44fdf031d3b,kosinski ads,extroversion,extravert,,1303.0,33,Female,Black,United States,United States,United States,English,No,Part-Time
45a796ce4491209b12b774f715faf8ac7d582e9638e2443e96c61c85e0431b62,kosinski ads,extroversion,extravert,,7252.0,58,Male,White,United States,United States,United States,English,No,Full-Time
ee66e0b11c29548be2cb86115d507cc3d1824fa2dd18307fc043fd820782fea1,kosinski ads,introversion,extravert,,888.0,30,Female,White,United States,United States,United States,English,No,Full-Time
3fa5435738f609e2e1caaa70e8b7dfd1bcd7c3aa0143e3b8f8915663fef97b3e,kosinski ads,extroversion,extravert,,5030.0,34,Male,White,United States,United States,United States,English,No,Full-Time
5fc712458a773d22ead869e8eb853464feb6a201574007921f05fb875815b600,kosinski ads,extroversion,extravert,,3117.0,50,Male,White,United States,United States,United States,English,DATA_EXPIRED,DATA_EXPIRED
d85ccafe0f69f1eb6e2a8c17f048d8dec6f9bf39d9e85cacfeeb5e1212f9afa2,kosinski ads,introversion,extravert,,2608.0,54,Female,White,United States,United States,United States,English,No,Part-Time
44639d92cf7b8b1239dbce125123f83cdb6c44e8c880941a98c24fdece563600,kosinski ads,extroversion,extravert,,3013.0,62,Male,White,United States,United States,United States,English,No,Full-Time
